Timestamp,Src IP,Dst IP,Src Port,Dst Port,Protocol,SYN Count,ACK Count,FIN Count,RST Count,PSH Count,URG Count,Total Bytes,Total Bwd Bytes,Total Packets,Flow Duration,Flow IAT Mean,Flow IAT Std,Flow IAT Max,TTL,Init Win Bytes Forward,Label
1700000000084,10.0.0.22,10.0.0.11,30706,53,TCP,1,1,0,0,0,0,4556,3882,12,161,38.44,12.24,100.7,64,65535,BENIGN
1700000000117,10.0.0.22,10.0.0.1,50821,53,TCP,1,1,0,0,0,0,4274,6831,17,134,27.17,6.3,105.73,64,65535,BENIGN
1700000000253,10.0.0.22,10.0.0.1,10466,53,TCP,1,1,0,0,0,0,4318,5681,18,151,25.33,10.8,73.71,64,65535,BENIGN
1700000000258,10.0.0.14,10.0.0.1,36282,53,TCP,1,1,0,0,0,0,3732,4854,15,121,33.15,8.16,80.98,64,65535,BENIGN
1700000000865,10.0.0.11,10.0.0.15,43166,53,TCP,1,1,0,0,0,0,1463,3661,18,80,31.13,8.04,71.3,64,65535,BENIGN
1700000001025,10.0.0.12,10.0.0.12,16961,80,TCP,1,1,0,0,0,0,1130,1406,14,149,25.8,7.26,81.3,64,65535,BENIGN
1700000001179,10.0.0.12,10.0.0.1,8549,443,TCP,1,1,0,0,0,0,1169,5996,15,96,34.05,7.04,102.6,64,65535,BENIGN
1700000001922,10.0.0.22,10.0.0.1,9826,443,TCP,1,1,0,0,0,0,2941,3807,15,73,26.71,8.62,98.9,64,65535,BENIGN
1700000002477,10.0.0.14,10.0.0.13,1309,80,TCP,1,1,0,0,0,0,2116,5106,12,113,38.06,10.84,108.59,64,65535,BENIGN
1700000002536,10.0.0.14,10.0.0.21,49040,443,TCP,1,1,0,0,0,0,4056,2033,12,104,33.52,10.81,78.82,64,65535,BENIGN
1700000002858,10.0.0.21,10.0.0.1,13692,53,TCP,1,1,0,0,0,0,2165,5951,13,165,20.31,6.23,87.96,64,65535,BENIGN
1700000003165,10.0.0.11,10.0.0.21,3341,443,TCP,1,1,0,0,0,0,2813,2515,17,103,24.28,6.56,106.74,64,65535,BENIGN
1700000003192,10.0.0.14,10.0.0.1,57702,53,TCP,1,1,0,0,0,0,889,5670,9,156,24.65,9.01,102.25,64,65535,BENIGN
1700000003514,10.0.0.13,10.0.0.15,33756,80,TCP,1,1,0,0,0,0,3383,5702,15,74,34.54,10.5,76.53,64,65535,BENIGN
1700000004100,10.0.0.13,10.0.0.12,11344,80,TCP,1,1,0,0,0,0,1549,5256,18,137,33.14,6.01,104.8,64,65535,BENIGN
1700000004206,10.0.0.12,10.0.0.13,37018,53,TCP,1,1,0,0,0,0,1966,1809,12,156,35.78,7.03,73.96,64,65535,BENIGN
1700000004383,10.0.0.15,10.0.0.14,9573,53,TCP,1,1,0,0,0,0,1922,3155,10,162,33.74,8.76,92.51,64,65535,BENIGN
1700000004578,10.0.0.13,10.0.0.21,25639,80,TCP,1,1,0,0,0,0,2647,5761,15,158,31.96,6.43,87.6,64,65535,BENIGN
1700000004579,10.0.0.12,10.0.0.1,38581,443,TCP,1,1,0,0,0,0,3247,4247,10,91,22.6,9.72,84.26,64,65535,BENIGN
1700000004647,10.0.0.21,10.0.0.13,55654,443,TCP,1,1,0,0,0,0,3376,4823,14,70,28.99,12.93,90.86,64,65535,BENIGN
1700000004670,10.0.0.21,10.0.0.13,25933,53,TCP,1,1,0,0,0,0,4475,6956,14,162,21.79,10.09,86.65,64,65535,BENIGN
1700000004863,10.0.0.15,10.0.0.1,38447,53,TCP,1,1,0,0,0,0,4018,2965,14,113,25.42,10.04,103.58,64,65535,BENIGN
1700000004890,10.0.0.13,10.0.0.1,17164,80,TCP,1,1,0,0,0,0,3719,6211,15,159,20.87,8.14,85.55,64,65535,BENIGN
1700000004943,10.0.0.21,10.0.0.1,42279,80,TCP,1,1,0,0,0,0,1044,6133,13,164,30.13,12.03,103.34,64,65535,BENIGN
1700000005130,10.0.0.22,10.0.0.14,23742,80,TCP,1,1,0,0,0,0,1640,1498,13,87,38.95,7.86,105.56,64,65535,BENIGN
1700000005283,10.0.0.11,10.0.0.1,8210,443,TCP,1,1,0,0,0,0,678,6690,14,81,36.7,10.43,92.76,64,65535,BENIGN
1700000005355,10.0.0.13,10.0.0.11,23006,443,TCP,1,1,0,0,0,0,1521,6039,16,92,32.41,9.37,107.68,64,65535,BENIGN
1700000005390,10.0.0.12,10.0.0.13,6868,443,TCP,1,1,0,0,0,0,2752,4081,14,97,23.84,12.85,89.65,64,65535,BENIGN
1700000005557,10.0.0.13,10.0.0.1,23073,443,TCP,1,1,0,0,0,0,4091,3550,16,156,27.33,9.85,91.42,64,65535,BENIGN
1700000006753,10.0.0.11,10.0.0.1,4060,53,TCP,1,1,0,0,0,0,1487,4576,18,78,28.62,10.61,90.44,64,65535,BENIGN
1700000006892,10.0.0.14,10.0.0.1,6368,443,TCP,1,1,0,0,0,0,2535,2704,10,165,27.95,9.04,84.62,64,65535,BENIGN
1700000007220,10.0.0.13,10.0.0.22,32633,443,TCP,1,1,0,0,0,0,4340,2550,10,113,38.49,12.54,107.45,64,65535,BENIGN
1700000007450,10.0.0.12,10.0.0.15,31063,80,TCP,1,1,0,0,0,0,2070,5157,11,146,29.57,13.78,82.92,64,65535,BENIGN
1700000007499,10.0.0.22,10.0.0.1,24247,443,TCP,1,1,0,0,0,0,4249,6746,13,127,34.5,13.84,82.77,64,65535,BENIGN
1700000007713,10.0.0.22,10.0.0.1,1977,80,TCP,1,1,0,0,0,0,3971,2114,10,135,33.64,12.6,82.79,64,65535,BENIGN
1700000008030,10.0.0.13,10.0.0.1,26398,80,TCP,1,1,0,0,0,0,3882,6714,18,128,39.11,6.65,90.6,64,65535,BENIGN
1700000008058,10.0.0.13,10.0.0.1,18763,53,TCP,1,1,0,0,0,0,1867,3652,15,138,21.22,10.58,95.83,64,65535,BENIGN
1700000008228,10.0.0.15,10.0.0.1,46807,443,TCP,1,1,0,0,0,0,2028,7020,9,85,36.89,9.49,83.43,64,65535,BENIGN
1700000008500,10.0.0.21,10.0.0.1,23204,53,TCP,1,1,0,0,0,0,2378,2943,12,127,34.89,11.66,71.49,64,65535,BENIGN
1700000008555,10.0.0.22,10.0.0.22,63336,53,TCP,1,1,0,0,0,0,2201,4090,14,128,22.83,13.51,71.78,64,65535,BENIGN
1700000008799,10.0.0.15,10.0.0.15,9544,443,TCP,1,1,0,0,0,0,1176,5183,9,70,39.0,9.81,106.72,64,65535,BENIGN
1700000008819,10.0.0.13,10.0.0.1,54253,53,TCP,1,1,0,0,0,0,4032,5990,17,96,29.62,8.68,100.69,64,65535,BENIGN
1700000009468,10.0.0.15,10.0.0.1,17008,80,TCP,1,1,0,0,0,0,1687,1279,18,108,28.03,10.27,82.95,64,65535,BENIGN
1700000009486,10.0.0.15,10.0.0.1,10269,53,TCP,1,1,0,0,0,0,2129,3045,13,122,23.81,6.79,80.09,64,65535,BENIGN
1700000011467,10.0.0.11,10.0.0.22,52022,53,TCP,1,1,0,0,0,0,632,3152,11,159,33.75,8.96,103.66,64,65535,BENIGN
1700000011549,10.0.0.14,10.0.0.13,1388,53,TCP,1,1,0,0,0,0,2516,4009,18,135,23.97,9.2,98.72,64,65535,BENIGN
1700000011658,10.0.0.21,10.0.0.1,45053,80,TCP,1,1,0,0,0,0,1609,4121,14,159,25.37,13.06,72.2,64,65535,BENIGN
1700000011679,10.0.0.22,10.0.0.1,47368,53,TCP,1,1,0,0,0,0,4559,4871,15,130,26.71,10.1,70.75,64,65535,BENIGN
1700000011725,10.0.0.11,10.0.0.13,26042,80,TCP,1,1,0,0,0,0,2717,1517,14,127,27.51,11.16,92.84,64,65535,BENIGN
1700000012096,10.0.0.13,10.0.0.1,53254,53,TCP,1,1,0,0,0,0,3528,4911,9,141,30.05,11.85,75.74,64,65535,BENIGN
1700000012255,10.0.0.13,10.0.0.1,48823,443,TCP,1,1,0,0,0,0,3132,3620,17,144,37.0,8.44,86.24,64,65535,BENIGN
1700000012685,10.0.0.11,10.0.0.1,58476,53,TCP,1,1,0,0,0,0,1933,1622,9,140,20.19,7.96,108.43,64,65535,BENIGN
1700000012824,10.0.0.12,10.0.0.1,12697,53,TCP,1,1,0,0,0,0,3780,2595,16,160,37.45,9.5,97.56,64,65535,BENIGN
1700000013259,10.0.0.14,10.0.0.13,19695,53,TCP,1,1,0,0,0,0,2825,5928,12,95,38.91,7.68,85.96,64,65535,BENIGN
1700000013338,10.0.0.21,10.0.0.14,13820,443,TCP,1,1,0,0,0,0,3129,4764,11,113,35.9,11.76,81.11,64,65535,BENIGN
1700000013418,10.0.0.22,10.0.0.1,54015,443,TCP,1,1,0,0,0,0,1481,1545,12,127,34.83,13.01,98.65,64,65535,BENIGN
1700000013490,10.0.0.14,10.0.0.1,51274,80,TCP,1,1,0,0,0,0,3882,3797,16,152,33.88,13.28,80.81,64,65535,BENIGN
1700000013818,10.0.0.13,10.0.0.1,13080,443,TCP,1,1,0,0,0,0,2898,3064,13,164,30.1,11.92,107.18,64,65535,BENIGN
1700000013856,10.0.0.21,10.0.0.11,4087,443,TCP,1,1,0,0,0,0,2430,2335,14,76,27.51,6.46,108.2,64,65535,BENIGN
1700000013907,10.0.0.12,10.0.0.11,11725,80,TCP,1,1,0,0,0,0,4508,2962,14,163,23.73,9.34,84.95,64,65535,BENIGN
1700000014040,10.0.0.22,10.0.0.1,48067,53,TCP,1,1,0,0,0,0,2040,2603,10,148,33.35,6.15,72.78,64,65535,BENIGN
1700000014145,10.0.0.13,10.0.0.14,41850,80,TCP,1,1,0,0,0,0,779,3752,10,103,33.03,7.91,105.48,64,65535,BENIGN
1700000014690,10.0.0.13,10.0.0.22,41590,443,TCP,1,1,0,0,0,0,4470,1677,14,122,38.0,13.23,76.39,64,65535,BENIGN
1700000014911,10.0.0.14,10.0.0.11,32578,80,TCP,1,1,0,0,0,0,1878,2095,16,139,25.44,7.29,104.81,64,65535,BENIGN
1700000015035,10.0.0.12,10.0.0.14,41657,80,TCP,1,1,0,0,0,0,1502,5930,14,123,24.66,8.58,90.42,64,65535,BENIGN
1700000015095,10.0.0.21,10.0.0.14,43467,53,TCP,1,1,0,0,0,0,2027,4520,18,131,26.99,9.13,83.12,64,65535,BENIGN
1700000015224,10.0.0.21,10.0.0.1,32831,80,TCP,1,1,0,0,0,0,2566,6184,15,101,29.94,8.77,85.68,64,65535,BENIGN
1700000015358,10.0.0.14,10.0.0.11,61132,53,TCP,1,1,0,0,0,0,2617,5618,15,159,22.46,10.27,72.0,64,65535,BENIGN
1700000015394,10.0.0.22,10.0.0.1,36975,443,TCP,1,1,0,0,0,0,3674,6141,9,158,34.46,7.69,92.19,64,65535,BENIGN
1700000015721,10.0.0.22,10.0.0.1,28176,443,TCP,1,1,0,0,0,0,2103,6720,11,160,39.41,6.98,87.91,64,65535,BENIGN
1700000015828,10.0.0.14,10.0.0.21,60633,80,TCP,1,1,0,0,0,0,3302,6907,12,83,20.77,11.81,109.55,64,65535,BENIGN
1700000015983,10.0.0.11,10.0.0.1,55337,53,TCP,1,1,0,0,0,0,3050,2343,15,97,28.34,12.29,104.58,64,65535,BENIGN
1700000016041,10.0.0.12,10.0.0.12,7974,53,TCP,1,1,0,0,0,0,3112,3341,17,169,31.0,9.15,87.24,64,65535,BENIGN
1700000016274,10.0.0.14,10.0.0.14,37877,53,TCP,1,1,0,0,0,0,1034,1429,9,116,34.85,7.9,71.96,64,65535,BENIGN
1700000016787,10.0.0.22,10.0.0.1,27056,53,TCP,1,1,0,0,0,0,3869,3300,9,75,37.27,9.44,92.38,64,65535,BENIGN
1700000017265,10.0.0.21,10.0.0.1,36389,80,TCP,1,1,0,0,0,0,1015,4942,16,71,29.41,8.05,87.75,64,65535,BENIGN
1700000017314,10.0.0.12,10.0.0.1,9121,80,TCP,1,1,0,0,0,0,3588,6085,11,115,28.64,10.01,108.2,64,65535,BENIGN
1700000017362,10.0.0.12,10.0.0.14,19937,53,TCP,1,1,0,0,0,0,2466,4927,16,155,20.49,12.16,72.17,64,65535,BENIGN
1700000017581,10.0.0.13,10.0.0.1,33249,443,TCP,1,1,0,0,0,0,3164,6829,9,152,34.68,10.39,77.71,64,65535,BENIGN
1700000017669,10.0.0.13,10.0.0.1,61683,53,TCP,1,1,0,0,0,0,2427,6811,15,76,27.68,13.6,88.58,64,65535,BENIGN
1700000018195,10.0.0.15,10.0.0.1,54427,80,TCP,1,1,0,0,0,0,2119,3263,13,131,26.17,6.44,96.61,64,65535,BENIGN
1700000019128,10.0.0.11,10.0.0.1,50440,443,TCP,1,1,0,0,0,0,2638,6409,12,79,37.28,6.96,76.54,64,65535,BENIGN
